上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3130.0,48.0,41.0,2.0,1893.0,0.0,0.0,0.0,186.0,3.0,60.05%,2026-08-26 10:50:00
3174.0,49.0,42.0,3.0,1874.0,0.0,0.0,0.0,161.0,3.0,60.90%,2026-08-26 11:00:00
3319.0,56.0,49.0,5.0,1733.0,0.0,0.0,0.0,157.0,3.0,63.68%,2026-08-26 11:30:00
2691.0,57.0,50.0,3.0,2326.0,0.0,0.0,0.0,192.0,3.0,51.63%,2026-08-26 13:20:00
2695.0,53.0,46.0,3.0,2356.0,0.0,0.0,0.0,158.0,3.0,51.71%,2026-08-26 13:55:00
2826.0,55.0,48.0,4.0,2207.0,1.0,1.0,1.0,176.0,3.0,54.22%,2026-08-26 14:25:00
2760.0,56.0,49.0,4.0,2310.0,2.0,1.0,2.0,139.0,3.0,52.95%,2026-08-26 15:00:00
