上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3637.0,68.0,60.0,4.0,1456.0,4.0,3.0,1.0,104.0,6.0,69.90%,2026-08-03 13:05:00
3608.0,74.0,66.0,4.0,1495.0,6.0,5.0,1.0,94.0,6.0,69.34%,2026-08-03 13:35:00
3866.0,83.0,75.0,8.0,1279.0,9.0,8.0,1.0,52.0,6.0,74.30%,2026-08-03 15:00:00
