上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
1066.0,16.0,0.0,10.0,3567.0,2.0,0.0,1.0,558.0,16.0,20.47%,2026-05-26 09:30:00
1004.0,54.0,42.0,13.0,4123.0,37.0,35.0,22.0,64.0,16.0,19.28%,2026-05-26 13:45:00
869.0,56.0,43.0,15.0,4260.0,45.0,43.0,27.0,62.0,16.0,16.69%,2026-05-26 14:00:00
