上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3631.0,89.0,82.0,0.0,1351.0,2.0,0.0,1.0,217.0,5.0,69.77%,2026-08-05 11:30:00
3331.0,103.0,94.0,0.0,1697.0,2.0,0.0,1.0,171.0,5.0,64.01%,2026-08-05 13:10:00
