上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3173.0,58.0,51.0,0.0,1933.0,21.0,20.0,0.0,87.0,9.0,61.00%,2026-07-29 11:30:00
3962.0,63.0,56.0,0.0,1175.0,5.0,4.0,1.0,56.0,9.0,76.16%,2026-07-29 13:15:00
3968.0,86.0,79.0,5.0,1173.0,11.0,9.0,0.0,52.0,9.0,76.28%,2026-07-29 15:00:00
