上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
1700.0,42.0,35.0,1.0,3352.0,9.0,5.0,1.0,153.0,6.0,32.62%,2026-08-21 10:45:00
1713.0,43.0,36.0,2.0,3361.0,8.0,4.0,0.0,131.0,6.0,32.87%,2026-08-21 10:55:00
1724.0,47.0,40.0,2.0,3336.0,9.0,5.0,1.0,145.0,6.0,33.08%,2026-08-21 11:30:00
1622.0,44.0,37.0,2.0,3455.0,10.0,6.0,1.0,128.0,6.0,31.13%,2026-08-21 13:15:00
1797.0,47.0,40.0,3.0,3263.0,13.0,9.0,1.0,145.0,6.0,34.48%,2026-08-21 13:20:00
2205.0,50.0,43.0,3.0,2832.0,14.0,9.0,1.0,168.0,6.0,42.31%,2026-08-21 13:50:00
2287.0,51.0,44.0,3.0,2743.0,15.0,10.0,1.0,175.0,6.0,43.89%,2026-08-21 14:20:00
