上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3967.0,67.0,53.0,2.0,1101.0,4.0,4.0,0.0,136.0,7.0,76.13%,2026-08-20 10:40:00
4122.0,72.0,58.0,2.0,971.0,4.0,4.0,0.0,111.0,7.0,79.10%,2026-08-20 10:50:00
4169.0,83.0,69.0,2.0,932.0,5.0,4.0,0.0,103.0,7.0,80.00%,2026-08-20 11:30:00
4169.0,83.0,69.0,2.0,932.0,5.0,4.0,0.0,103.0,7.0,80.00%,2026-08-20 13:00:00
3985.0,83.0,69.0,2.0,1117.0,5.0,3.0,0.0,102.0,7.0,76.47%,2026-08-20 13:20:00
3890.0,83.0,69.0,2.0,1224.0,7.0,3.0,0.0,90.0,7.0,74.65%,2026-08-20 13:50:00
3754.0,79.0,65.0,3.0,1367.0,12.0,8.0,1.0,83.0,7.0,72.04%,2026-08-20 14:20:00
3915.0,83.0,69.0,4.0,1204.0,12.0,8.0,1.0,85.0,7.0,75.13%,2026-08-20 15:00:00
