上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
1062.0,40.0,31.0,0.0,4041.0,9.0,7.0,0.0,104.0,4.0,20.38%,2026-08-24 10:45:00
1042.0,37.0,28.0,0.0,4068.0,10.0,8.0,0.0,97.0,4.0,20.00%,2026-08-24 10:55:00
1059.0,41.0,32.0,0.0,4040.0,9.0,7.0,0.0,108.0,4.0,20.32%,2026-08-24 11:30:00
1096.0,42.0,33.0,1.0,4001.0,14.0,12.0,0.0,110.0,4.0,21.03%,2026-08-24 13:25:00
928.0,42.0,33.0,1.0,4171.0,19.0,17.0,0.0,108.0,4.0,17.81%,2026-08-24 14:00:00
1384.0,48.0,39.0,2.0,3705.0,14.0,12.0,1.0,118.0,4.0,26.56%,2026-08-24 15:00:00
