上涨,涨停,真实涨停,st st*涨停,下跌,跌停,真实跌停,st st*跌停,平盘,停牌,活跃度,统计日期
3660.0,104.0,98.0,13.0,1435.0,18.0,14.0,7.0,99.0,13.0,70.29%,2026-06-12 14:15:00
3667.0,108.0,102.0,12.0,1450.0,18.0,14.0,6.0,77.0,13.0,70.42%,2026-06-12 14:35:00
